"Method Name",MLOC
javax.accessibility.AccessibleRelationSet#add(javax.accessibility.AccessibleRelation),27
javax.accessibility.AccessibleRelationSet#addAll(javax.accessibility.AccessibleRelation[]),10
javax.accessibility.AccessibleRelationSet#remove(javax.accessibility.AccessibleRelation),7
javax.accessibility.AccessibleRelationSet#clear(),5
javax.accessibility.AccessibleRelationSet#size(),7
javax.accessibility.AccessibleRelationSet#contains(java.lang.String),3
javax.accessibility.AccessibleRelationSet#get(java.lang.String),15
javax.accessibility.AccessibleRelationSet#toArray(),12
javax.accessibility.AccessibleRelationSet#toString(),12
javax.accessibility.AccessibleResourceBundle#getContents(),105
javax.accessibility.AccessibleSelection#getAccessibleSelectionCount(),1
javax.accessibility.AccessibleSelection#getAccessibleSelection(int),1
javax.accessibility.AccessibleSelection#isAccessibleChildSelected(int),1
javax.accessibility.AccessibleSelection#addAccessibleSelection(int),1
javax.accessibility.AccessibleSelection#removeAccessibleSelection(int),1
javax.accessibility.AccessibleSelection#clearAccessibleSelection(),1
javax.accessibility.AccessibleSelection#selectAllAccessibleSelection(),1
javax.accessibility.AccessibleStateSet#add(javax.accessibility.AccessibleState),15
javax.accessibility.AccessibleStateSet#addAll(javax.accessibility.AccessibleState[]),12
javax.accessibility.AccessibleStateSet#remove(javax.accessibility.AccessibleState),7
javax.accessibility.AccessibleStateSet#clear(),5
javax.accessibility.AccessibleStateSet#contains(javax.accessibility.AccessibleState),7
javax.accessibility.AccessibleStateSet#toArray(),11
javax.accessibility.AccessibleStateSet#toString(),12
javax.accessibility.AccessibleStreamable#getMimeTypes(),1
javax.accessibility.AccessibleStreamable#getStream(java.awt.datatransfer.DataFlavor),1
javax.accessibility.AccessibleTable#getAccessibleCaption(),1
javax.accessibility.AccessibleTable#setAccessibleCaption(javax.accessibility.Accessible),1
javax.accessibility.AccessibleTable#getAccessibleSummary(),1
javax.accessibility.AccessibleTable#setAccessibleSummary(javax.accessibility.Accessible),1
javax.accessibility.AccessibleTable#getAccessibleRowCount(),1
javax.accessibility.AccessibleTable#getAccessibleColumnCount(),1
javax.accessibility.AccessibleTable#getAccessibleAt(int int),1
javax.accessibility.AccessibleTable#getAccessibleRowExtentAt(int int),1
javax.accessibility.AccessibleTable#getAccessibleColumnExtentAt(int int),1
javax.accessibility.AccessibleTable#getAccessibleRowHeader(),1
javax.accessibility.AccessibleTable#setAccessibleRowHeader(javax.accessibility.AccessibleTable),1
javax.accessibility.AccessibleTable#getAccessibleColumnHeader(),1
javax.accessibility.AccessibleTable#setAccessibleColumnHeader(javax.accessibility.AccessibleTable),1
javax.accessibility.AccessibleTable#getAccessibleRowDescription(int),1
javax.accessibility.AccessibleTable#setAccessibleRowDescription(int javax.accessibility.Accessible),1
javax.accessibility.AccessibleTable#getAccessibleColumnDescription(int),1
javax.accessibility.AccessibleTable#setAccessibleColumnDescription(int javax.accessibility.Accessible),1
javax.accessibility.AccessibleTable#isAccessibleSelected(int int),1
javax.accessibility.AccessibleTable#isAccessibleRowSelected(int),1
javax.accessibility.AccessibleTable#isAccessibleColumnSelected(int),1
javax.accessibility.AccessibleTable#getSelectedAccessibleRows(),1
javax.accessibility.AccessibleTable#getSelectedAccessibleColumns(),1
javax.accessibility.AccessibleTableModelChange#getType(),1
javax.accessibility.AccessibleTableModelChange#getFirstRow(),1
javax.accessibility.AccessibleTableModelChange#getLastRow(),1
javax.accessibility.AccessibleTableModelChange#getFirstColumn(),1
javax.accessibility.AccessibleTableModelChange#getLastColumn(),1
javax.accessibility.AccessibleText#getIndexAtPoint(java.awt.Point),1
javax.accessibility.AccessibleText#getCharacterBounds(int),1
javax.accessibility.AccessibleText#getCharCount(),1
javax.accessibility.AccessibleText#getCaretPosition(),1
javax.accessibility.AccessibleText#getAtIndex(int int),1
javax.accessibility.AccessibleText#getAfterIndex(int int),1
javax.accessibility.AccessibleText#getBeforeIndex(int int),1
javax.accessibility.AccessibleText#getCharacterAttribute(int),1
javax.accessibility.AccessibleText#getSelectionStart(),1
javax.accessibility.AccessibleText#getSelectionEnd(),1
javax.accessibility.AccessibleText#getSelectedText(),1
javax.accessibility.AccessibleValue#getCurrentAccessibleValue(),1
